model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,1,128,256,17.074,0,5967.64,44.068,45.64,42.898,sm86,QuantMode.0,0.009,0.0,0.0
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,2,128,256,17.193,0,5278.13,99.042,100.433,97.004,sm86,QuantMode.0,21.483,2.0,93.095
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,4,128,256,17.408,0,180.46,5687.355,5687.355,5674.348,sm86,QuantMode.0,5537.266,1020.0,184.206
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,8,128,256,17.748,0,343.49,5981.343,5981.343,5962.325,sm86,QuantMode.0,5699.191,2040.0,357.946
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,16,128,256,18.498,0,618.5,6651.04,6651.04,6622.445,sm86,QuantMode.0,6148.615,4080.0,663.564
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,32,128,256,19.994,0,1040.85,7880.272,7880.272,7870.51,sm86,QuantMode.0,6931.688,8160.0,1177.202
model_name,world_size,num_heads,num_kv_heads,num_layers,hidden_size,vocab_size,precision,batch_size,input_length,output_length,gpu_peak_mem(gb),build_time(s),tokens_per_sec,percentile95(ms),percentile99(ms),latency(ms),compute_cap,quantization,generation_time(ms),total_generated_tokens,generation_tokens_per_second
llama3_7b,1,32,8,32,4096,128256,bfloat16,64,128,256,23.01,0,1398.53,11734.784,11734.784,11715.196,sm86,QuantMode.0,9886.964,16320.0,1650.658
